,name,category,rating,ncount,address,long,lat,best_cafe
0,리틀넥 청담,양식,3.8,924,서울 강남구 도산대로51길 17 1층,127.037766715705,37.5242138261807,카페노티드 청담
1,다운타우너 청담,햄버거,4.2,636,서울 강남구 도산대로53길 14 1층,127.038573907268,37.524064899915,C27 가로수길본점
2,브루클린더버거조인트 가로수길점,햄버거,3.9,536,서울 강남구 도산대로15길 12 YG빌딩 1층,127.024070351583,37.5190748481366,C27 가로수길본점
3,청담돈,일식,4.1,423,서울 강남구 도산대로49길 11 2층,127.037096490732,37.5236243325128,논탄토
4,쮸즈,퓨전중식,3.9,404,서울 강남구 도산대로17길 9,127.02468385789,37.5192728521127,논탄토
5,도쿄등심 압구정점,"육류,고기",3.8,334,서울 강남구 도산대로49길 9 스타크빌딩 3층,127.03707080116,37.5233752133923,논탄토
6,오복수산 도산점,일식집,3.6,333,서울 강남구 도산대로53길 14 2층,127.038573907268,37.524064899915,카페그라쎄
7,페어링룸,이탈리안,3.9,326,서울 강남구 도산대로81길 14 1층,127.047836479836,37.5253800382362,카페그라쎄
8,루위,중식,3.8,310,서울 강남구 도산대로 211,127.029681739673,37.5205955456524,카페그라쎄
9,쉐이크쉑 청담점,햄버거,3.6,302,서울 강남구 도산대로 327 SGF청담타워 1층,127.037598626747,37.5231196123278,바오밥나무커피 가로수길점
