,name_food,category,rating_food,ncount_food,address_food,closest_best_cafe,rating_cafe,ncount_cafe,address_cafe
0,소이연남,동남아음식,3.9,619,서울 마포구 동교로 267,씨스루 홍대연남점,4.3,172,서울 마포구 동교로 266-6 1층
1,멕시칸식당베르데,"멕시칸,브라질",4.3,326,서울 마포구 동교로 262-6 1층,씨스루 홍대연남점,4.3,172,서울 마포구 동교로 266-6 1층
2,경양카츠 연남점,"돈까스,우동",3.9,560,서울 마포구 동교로 238-1 1층,오랑지,4.7,267,서울 마포구 동교로38길 13 2층
3,발리문,동남아음식,4.4,284,서울 마포구 동교로 248-1 2층,오랑지,4.7,267,서울 마포구 동교로38길 13 2층
4,연어롭다,"해물,생선",3.6,461,서울 마포구 동교로38길 42 지하1층,블룸스토리,3.6,311,서울 마포구 동교로46길 42-20
5,슬로우캘리,양식,4.0,319,서울 마포구 동교로38길 35,블룸스토리,3.6,311,서울 마포구 동교로46길 42-20
6,다엔조,이탈리안,4.2,288,서울 마포구 연희로1길 59-2 1층,블룸스토리,3.6,311,서울 마포구 동교로46길 42-20
7,미쁘동,일식,3.8,397,서울 마포구 동교로38길 33-21 2층,위아소울메이트,3.7,232,서울 마포구 성미산로 190-11 1층
8,툭툭누들타이,태국음식,3.6,355,서울 마포구 성미산로 161-8,얼스어스,3.9,291,서울 마포구 성미산로 150
9,연남토마 본점,일식,3.6,275,서울 마포구 월드컵북로6길 61,코코로카라,3.6,243,서울 마포구 월드컵북로8길 17 1층
