,name,category,rating,ncount,address
0,카페노티드 청담,디저트카페,3.6,1508,서울 강남구 도산대로53길 15 1층
1,꽁티드툴레아 도산점,테마카페,2.9,566,서울 강남구 도산대로49길 39 1층
2,리틀넥 청담,양식,3.8,924,서울 강남구 도산대로51길 17 1층
3,다운타우너 청담,햄버거,4.2,636,서울 강남구 도산대로53길 14 1층
4,쉐이크쉑 청담점,햄버거,3.6,302,서울 강남구 도산대로 327 SGF청담타워 1층
5,새벽집 청담점,"육류,고기",3.4,169,서울 강남구 도산대로101길 6
6,몽중헌 청담점,중화요리,3.9,134,서울 강남구 도산대로 445 엠빌딩 지하1층
7,오복수산 도산점,일식집,3.6,333,서울 강남구 도산대로53길 14 2층
8,아우어베이커리 도산본점,"제과,베이커리",3.2,302,서울 강남구 도산대로45길 10-11
9,영천영화 청담점,"육류,고기",3.6,227,서울 강남구 도산대로90길 3
10,페어링룸,이탈리안,3.9,326,서울 강남구 도산대로81길 14 1층
11,브루클린더버거조인트 가로수길점,,3.9,536,서울 강남구 도산대로15길 12 YG빌딩 1층
12,배식당,"호프,요리주점",3.7,174,서울 강남구 도산대로49길 9 지하1층
13,도산분식 도산공원점,분식,2.8,488,서울 강남구 도산대로49길 10-6 젤로빌딩 1층
14,신사모소리,"육류,고기",4.6,247,서울 강남구 도산대로1길 24
15,긴자 청담점,일식집,3.5,61,서울 강남구 도산대로 534
16,우정양곱창,"곱창,막창",3.9,113,서울 강남구 도산대로30길 23 1층
17,C27 가로수길본점,디저트카페,3.7,353,서울 강남구 도산대로15길 39
18,새들러하우스,디저트카페,3.8,40,서울 강남구 도산대로17길 10 지하 1층
19,루위,중식,3.8,310,서울 강남구 도산대로 211
20,스시코우지,"초밥,롤",4.4,112,서울 강남구 도산대로 404 퍼스트빌딩 2층
21,쮸즈,퓨전중식,3.9,404,서울 강남구 도산대로17길 9
22,송쉐프,중화요리,3.6,175,서울 강남구 도산대로1길 40
23,밍글스,한식,3.8,106,서울 강남구 도산대로67길 19 힐탑빌딩 2층
24,오아시스 청담점,양식,3.7,87,서울 강남구 도산대로55길 20 영빌딩 1층
25,마켓오 압구정점,패밀리레스토랑,3.7,82,서울 강남구 도산대로 310 2층
26,최가네 버섯샤브매운탕칼국수,샤브샤브,4.5,161,서울 강남구 도산대로51길 36 2층
27,빵어니스타 압구정점,디저트카페,3.6,93,서울 강남구 도산대로25길 43 1층
28,도쿄등심 압구정점,"육류,고기",3.8,334,서울 강남구 도산대로49길 9 스타크빌딩 3층
29,볼피노,양식,3.9,228,서울 강남구 도산대로45길 10-7 삼희2빌딩 1층
30,강강술래 청담점,"육류,고기",3.1,35,서울 강남구 도산대로 535
31,유정식당,한식,3.4,65,서울 강남구 도산대로28길 14
32,파불라,중화요리,4.3,89,서울 강남구 도산대로81길 51 루미안빌딩 1층
33,두레국수 신사점,국수,3.4,73,서울 강남구 도산대로37길 28
34,더페이머스버거 신사점,햄버거,3.4,188,서울 강남구 도산대로 113
35,네기다이닝라운지,일본식주점,4.5,123,서울 강남구 도산대로15길 18 4층
36,세시셀라 도산공원점,디저트카페,3.7,192,서울 강남구 도산대로45길 10-4 삼경빌딩 1층
37,김수사,"초밥,롤",3.1,135,서울 강남구 도산대로 132
38,길버트버거앤프라이즈 가로수점,햄버거,4.1,105,서울 강남구 도산대로15길 47
39,쵸이닷,양식,3.1,101,서울 강남구 도산대로 457 앙스돔빌딩 3층
40,카페그라쎄,카페,4.3,84,서울 강남구 도산대로17길 19 온암빌딩 1층
41,호무랑,퓨전일식,3.4,107,서울 강남구 도산대로 442 피엔폴루스 1층
42,한우리 본점,"육류,고기",3.7,51,서울 강남구 도산대로 304 한우리외식사업(주)
43,우가,"육류,고기",4.1,40,서울 강남구 도산대로49길 22 지하 1층
44,청담류,일본식주점,3.7,92,서울 강남구 도산대로58길 12
45,듀자미,디저트카페,3.1,273,서울 강남구 도산대로11길 28 1층
46,명인등심 압구정직영점,"육류,고기",4.2,39,서울 강남구 도산대로 211
47,공감,일본식주점,2.2,89,서울 강남구 도산대로11길 32 한교빌딩 1층
48,스시선수,"초밥,롤",4.4,93,서울 강남구 도산대로45길 6 호림아트센터 지하M층
49,홍미닭발 신사본점,닭요리,3.4,170,서울 강남구 도산대로1길 6
50,달식탁,한식,3.2,152,서울 강남구 도산대로15길 11 지하1층
51,도쿄등심 청담점,"육류,고기",4.0,138,서울 강남구 도산대로81길 18 2층
52,베러댄비프,"육류,고기",3.4,410,서울 강남구 도산대로11길 5 1층
53,라미띠에,양식,4.2,65,서울 강남구 도산대로67길 30
54,파시0914,카페,3.8,48,서울 강남구 도산대로45길 15 지하 1층
55,벽돌해피푸드 압구정점,아시아음식,3.4,139,서울 강남구 도산대로51길 36 1층
56,팔식당,"육류,고기",4.5,68,서울 강남구 도산대로90길 7 1층
57,미엘,갤러리카페,3.3,98,서울 강남구 도산대로67길 13-12 퍼즐하우스 1층
58,창고43 청담점,"육류,고기",3.9,35,"서울 강남구 도산대로 421 JS빌딩 1,2층"
59,압구정변강쇠떡볶이,떡볶이,2.9,87,서울 강남구 도산대로46길 21
60,라공방 가로수길본점,중식,2.6,249,서울 강남구 도산대로11길 29 SM빌딩 1층
61,논탄토,카페,3.8,142,서울 강남구 도산대로17길 35
62,돈블랑 청담스퀘어점,"육류,고기",4.3,59,서울 강남구 도산대로 420 청담스퀘어 B동 4층
63,뻐꾸기,실내포장마차,3.9,63,서울 강남구 도산대로17길 4
64,라페름 청담점,양식,3.4,129,서울 강남구 도산대로54길 10
65,쁠로13,"제과,베이커리",4.0,83,서울 강남구 도산대로8길 13 1층
66,마제스티타바론티라운지,양식,4.4,129,서울 강남구 도산대로 327 16층
67,심양 청담본점,양꼬치,3.6,72,서울 강남구 도산대로 408
68,청담고수 청담점,"육류,고기",3.5,72,서울 강남구 도산대로58길 15
69,앤더슨씨,양식,3.6,82,"서울 강남구 도산대로55길 7 헤이븐빌딩 1층, 지하1층"
70,PS카페 청담점,퓨전요리,2.9,88,서울 강남구 도산대로49길 9 1층
71,도레도레 신사점,디저트카페,3.3,202,서울 강남구 도산대로15길 40
72,리북집 신사점,"족발,보쌈",3.6,104,서울 강남구 도산대로 131
73,수다 청담점,일본식주점,4.9,60,서울 강남구 도산대로57길 15
74,JS가든 청담,중식,3.6,35,서울 강남구 도산대로 318 sb타워 c동 1층
75,본태,아시아음식,3.5,132,서울 강남구 도산대로45길 14 1층
76,안식,양식,4.7,81,서울 강남구 도산대로53길 13 1층
77,연립빵공장,테마카페,2.1,268,서울 강남구 도산대로11길 40
78,명인등심 본점,"육류,고기",3.7,24,서울 강남구 도산대로100길 13
79,청담돈,일식,4.1,423,서울 강남구 도산대로49길 11 2층
80,파스토,이탈리안,3.7,77,서울 강남구 도산대로62길 17 지하1층
81,갓포아키 도산공원점,일식집,4.1,66,서울 강남구 도산대로45길 8-3 2층
82,스시스미레,"초밥,롤",4.5,72,서울 강남구 도산대로55길 18
83,호시카츠,"돈까스,우동",3.7,99,서울 강남구 도산대로83길 17 1층
84,소이연남마오,태국음식,3.9,102,"서울 강남구 도산대로53길 30 1,2층"
85,가디록,이탈리안,4.3,39,서울 강남구 도산대로45길 18-4 2층
86,미미면가 신사2호점,일식,3.2,120,서울 강남구 도산대로1길 10
87,풍천가 청담점,장어,4.0,102,서울 강남구 도산대로56길 7
88,쇼린,일본식주점,3.9,68,서울 강남구 도산대로81길 18 1층
89,한라산 청담점,"해물,생선",3.6,30,서울 강남구 도산대로81길 51 루미안빌딩 지하1층
90,스시카나에,"초밥,롤",3.9,111,서울 강남구 도산대로75길 15 2층
91,지아니스나폴리 가로수길점,이탈리안,3.9,72,서울 강남구 도산대로15길 15 2층
92,신사전,"호프,요리주점",4.1,65,서울 강남구 도산대로11길 18 1층 1호
93,춘식당,한식,3.3,134,서울 강남구 도산대로23길 17
94,리사르커피로스터스,카페,4.7,6,서울 강남구 도산대로99길 60 1층
95,세광양대창 신사역가로수길점,"곱창,막창",3.6,93,서울 강남구 도산대로1길 24 1층 102호
96,테라13,이탈리안,3.8,62,서울 강남구 도산대로90길 13
97,첸트로,이탈리안,3.8,55,서울 강남구 도산대로 540 덕영빌딩 10층
98,겟 올라잇,술집,4.3,55,서울 강남구 도산대로57길 18
99,청담수산,회,3.5,50,서울 강남구 도산대로 408 1~3층
100,먼데이투선데이,카페,2.8,46,서울 강남구 도산대로67길 13-3
101,식부관,"제과,베이커리",4.0,56,서울 강남구 도산대로49길 36
102,스타벅스 청담스타R점,커피전문점,4.0,75,서울 강남구 도산대로57길 24
103,청담정스시 청담본점,"초밥,롤",3.6,21,서울 강남구 도산대로87길 11
104,쿠촐로테라짜,이탈리안,3.6,54,서울 강남구 도산대로59길 16 테이블20205 지하1층
