,match_id,name,category,rating,ncount,address,kind,long,lat
0,0,소이연남,동남아음식,3.9,619,서울 마포구 동교로 267,food,126.925377878746,37.5635325649477
1,1,멕시칸식당베르데,"멕시칸,브라질",4.3,326,서울 마포구 동교로 262-6 1층,food,126.925413866846,37.5628562998941
2,2,경양카츠 연남점,"돈까스,우동",3.9,560,서울 마포구 동교로 238-1 1층,food,126.92449833457,37.5611566188805
3,3,발리문,동남아음식,4.4,284,서울 마포구 동교로 248-1 2층,food,126.924531187219,37.5620246599155
4,4,연어롭다,"해물,생선",3.6,461,서울 마포구 동교로38길 42 지하1층,food,126.925673942632,37.561055822497
5,5,슬로우캘리,양식,4.0,319,서울 마포구 동교로38길 35,food,126.92581263134,37.5613569326774
6,6,다엔조,이탈리안,4.2,288,서울 마포구 연희로1길 59-2 1층,food,126.926485610151,37.5615903513316
7,7,미쁘동,일식,3.8,397,서울 마포구 동교로38길 33-21 2층,food,126.926189359347,37.5621018423944
8,8,툭툭누들타이,태국음식,3.6,355,서울 마포구 성미산로 161-8,food,126.924044563807,37.5651939623586
9,9,연남토마 본점,일식,3.6,275,서울 마포구 월드컵북로6길 61,food,126.921472669429,37.5595119480989
0,0,씨스루 홍대연남점,카페,4.3,172,서울 마포구 동교로 266-6 1층,cafe,126.925583880396,37.5630734571844
1,1,씨스루 홍대연남점,카페,4.3,172,서울 마포구 동교로 266-6 1층,cafe,126.925583880396,37.5630734571844
2,2,오랑지,카페,4.7,267,서울 마포구 동교로38길 13 2층,cafe,126.925006296467,37.5620587500215
3,3,오랑지,카페,4.7,267,서울 마포구 동교로38길 13 2층,cafe,126.925006296467,37.5620587500215
4,4,블룸스토리,카페,3.6,311,서울 마포구 동교로46길 42-20,cafe,126.926556651512,37.5618589825992
5,5,블룸스토리,카페,3.6,311,서울 마포구 동교로46길 42-20,cafe,126.926556651512,37.5618589825992
6,6,블룸스토리,카페,3.6,311,서울 마포구 동교로46길 42-20,cafe,126.926556651512,37.5618589825992
7,7,위아소울메이트,카페,3.7,232,서울 마포구 성미산로 190-11 1층,cafe,126.926094899133,37.5625116465661
8,8,얼스어스,카페,3.9,291,서울 마포구 성미산로 150,cafe,126.923271335595,37.5641298365593
9,9,코코로카라,카페,3.6,243,서울 마포구 월드컵북로8길 17 1층,cafe,126.91847979152,37.5592672811564
